Issue Type,Key,Summary,Description,Status,Assignee,Owner,Story Points,Priority,Labels,Components,Reporter,Created,Updated,Start Date,Due Date,Epic Link,Parent,Fix Version/s,Intent
Story,IL-0005,Caps Lock detection and hint,"As a teacher, I want to be warned if Caps Lock is on so I avoid password mistakes.
Acceptance Criteria:
- Caps Lock indicator appears when typing in password if active.
- Message is subtle but visible; announced for assistive tech.
- No telemetry of actual password content.",To Do,Taylor Brooks,Taylor Brooks,2,Medium,"login,teacher,ux",Frontend,Product Team,2025-10-06,2025-11-20,2025-10-10,2025-11-09,IL-1000,,2025.4,
Story,IL-0018,Enable account merge for duplicate teacher profiles,"As a teacher, I want to merge duplicate accounts so my data is consolidated under one login. Acceptance Criteria:
- Merge flow verifies ownership via email.
- Display data migration summary before confirmation.
- Keep both old and new credentials valid until merge completes.",To Do,Morgan Lee,Morgan Lee,3,Medium,"login,teacher,ux","Design,Backend",Product Team,2025-10-23,2025-10-25,2025-10-25,2025-12-14,IL-1000,,2025.4,Merge accounts
Story,IL-0013,Enable account merge for duplicate teacher profiles,"As a teacher, I want to merge duplicate accounts so my data is consolidated under one login. Acceptance Criteria:
- Merge flow verifies ownership via email.
- Display data migration summary before confirmation.
- Keep both old and new credentials valid until merge completes.",Review,Sam Patel,Sam Patel,2,Medium,"login,teacher,ux","Auth,Docs",Product Team,2025-10-18,2025-10-21,2025-10-20,2025-11-16,IL-1000,,2025.4,Merge accounts
Story,IL-0019,Provide transparent delete account workflow,"As a teacher, I want to close my account easily and confirm data deletion so I can manage my privacy. Acceptance Criteria:
- Add Delete button in settings with confirmation dialog.
- Send email confirmation after deletion.
- Log and audit deletions for compliance.",In Progress,Avery Chen,Avery Chen,3,Medium,"login,teacher,ux","Docs,Backend",Product Team,2025-10-24,2025-10-28,2025-10-26,2025-11-19,IL-1000,,2025.4,Close or delete account
Story,IL-0017,Provide transparent delete account workflow,"As a teacher, I want to close my account easily and confirm data deletion so I can manage my privacy. Acceptance Criteria:
- Add Delete button in settings with confirmation dialog.
- Send email confirmation after deletion.
- Log and audit deletions for compliance.",In Progress,Avery Chen,Avery Chen,2,Medium,"login,teacher,ux","Design,UX Writing",Product Team,2025-10-22,2025-10-27,2025-10-24,2025-11-29,IL-1000,,2025.4,Close or delete account
Story,IL-0003,Add password visibility toggle,"As a teacher, I want to reveal my password briefly so I can avoid typos on small keyboards.
Acceptance Criteria:
- Eye icon toggles masked/unmasked state.
- Toggle is keyboard/touch accessible and announces state change.
- Default remains masked; state resets after submit.",To Do,Avery Chen,Avery Chen,2,Medium,"login,teacher,ux",Frontend,Product Team,2025-10-04,2025-11-18,2025-10-08,2025-11-07,IL-1000,,2025.4,
Story,IL-0010,Account not found guidance (no enumeration),"As a teacher, I need guidance if my email isn’t recognized so I know how to proceed without exposing account existence.
Acceptance Criteria:
- Show generic success message after reset request.
- Provide guidance to contact school admin or try another email.
- Logging records “email not found” without surfacing to user.",To Do,Morgan Lee,Morgan Lee,3,High,"login,teacher,ux","Frontend,Backend",Product Team,2025-10-11,2025-11-18,2025-10-15,2025-11-14,IL-1000,,2025.4,
Story,IL-0022,Provide transparent delete account workflow,"As a teacher, I want to close my account easily and confirm data deletion so I can manage my privacy. Acceptance Criteria:
- Add Delete button in settings with confirmation dialog.
- Send email confirmation after deletion.
- Log and audit deletions for compliance.",Review,Sam Patel,Sam Patel,5,High,"login,teacher,ux","Design,UX Writing",Product Team,2025-10-27,2025-10-28,2025-10-29,2025-11-30,IL-1000,,2025.4,Close or delete account
Story,IL-0008,Network/offline error handling,"As a teacher, I want clear guidance if I’m offline or the network fails so I can retry effectively.
Acceptance Criteria:
- Distinguish offline vs server error with specific copy.
- Provide Retry button; auto-retry on reconnect.
- Preserve typed inputs across retries.",To Do,Sam Patel,Sam Patel,3,High,"login,teacher,ux",Frontend,Product Team,2025-10-09,2025-11-16,2025-10-13,2025-11-12,IL-1000,,2025.4,
Story,IL-0011,Keep context after password reset,"As a teacher, after resetting my password I want to return to the login screen with a clear success message.
Acceptance Criteria:
- Deep link back to login with “Password reset email sent” confirmation.
- Inputs prefill email field when returning from reset.
- No auto-fill of password fields.",To Do,Taylor Brooks,Taylor Brooks,3,High,"login,teacher,ux",Frontend,Product Team,2025-10-12,2025-11-19,2025-10-16,2025-11-15,IL-1000,,2025.4,
Story,IL-0015,Improve reliability and clarity of activation link delivery,"As a teacher, I want activation emails to arrive quickly and include clear steps so I can activate my account. Acceptance Criteria:
- Activation email sent immediately upon signup.
- Include expiry info and support contact.
- Retry option if email not received within 5 minutes.",In Progress,Avery Chen,Avery Chen,5,High,"login,teacher,ux","Auth,Design",Product Team,2025-10-20,2025-10-23,2025-10-20,2025-11-30,IL-1000,,2025.4,Sending account activation link
Story,IL-0020,Fix account verification and confirmation messages,"As a teacher, I want to understand my account verification state so I know whether I can sign in. Acceptance Criteria:
- Show clear verified/unverified banner.
- Allow resending verification link.
- Expired links display guidance to request a new one.",Review,Avery Chen,Avery Chen,2,Medium,"login,teacher,ux","Frontend,Docs",Product Team,2025-10-25,2025-10-30,2025-10-26,2025-12-11,IL-1000,,2025.4,Account verification status
Story,IL-0007,Friendly lockout & rate-limit messaging,"As a teacher, I want to know if I’m temporarily locked out and what to do next.
Acceptance Criteria:
- After N failed attempts, show banner with remaining wait time.
- Provide help-center link and reset option.
- Copy avoids blame; never reveals which field was wrong.",To Do,Taylor Brooks,Taylor Brooks,3,High,"login,teacher,ux","Frontend,Backend",Product Team,2025-10-08,2025-11-15,2025-10-12,2025-11-11,IL-1000,,2025.4,
