Intent Name,Intent Description
See attachment,"The requester is sending a document or attachment for various purposes. The purpose or type of document isn't specified. For example, ""I'm attaching the requested form."" or ""Please find the required file attached.""."
Screenshot of problem,"The requester is sharing a screenshot to illustrate an issue or provide visual information. They may be showing error messages, account details, confirmation emails, or other visual content to support their query or provide context. ""We are now getting this error (see screenshot below).""."
Check previous message,"The requester is following up on a previous inquiry, request, or issue that hasn't been addressed or resolved. They're seeking a response, update, or action on their earlier communication. They're not explicitly reiterating their request. For example, ""I sent an email two days ago and haven't heard back."" or ""Can someone please look into ticket that I submitted last week?""."
Ignore previous message,"The requester wants to cancel or ignore a previous message they sent. They may have found a solution, changed their mind, or realized they made a mistake. For example, ""Please ignore my last email."" or ""Kindly disregard the message I just sent.""."
Request resolved,"The requester receives an automated notification of a ticket that has been resolved. The contents of the ticket may vary. The message is formatted as a ticket form and contains indication of the status ""resolved"". The contents of the ticket may vary."
Confirm if this is a legitimate message,"The requester wants to confirm the legitimacy of a communication they've received, which they suspect might be fraudulent or a scam. This can include emails, text messages, phone calls, or other forms of contact that seem unusual or potentially malicious. For example, ""Is this email legitimate?"" or ""I got a strange text message, can you verify if it's real?""."
Contact acknowledgement,"The requester receives an automated acknowledgment that their support request, inquiry, or ticket has been received. This message typically includes a reference number, estimated response time, and instructions for follow-up. It doesn't provide a solution to the original request, but confirms it's in the system and will be addressed. For example, ""Thanks for contacting us."" or ""We have received your contact.""."
Goodbye,
Greeting,
New message received,"The requester receives an automated notification of a new message. The ticket typically does not include any details about the contents of the message. For example, ""Someone has sent you a protected message."" or ""You have received an encrypted message from the email address below.""."
Received communication intended for someone else,"The requester reports that they've received a communication (email, letter, or message) that they believe was sent to them by mistake. They want to inform the sender of the error. There is no explicit request to ensure that their information is removed from the incorrect mailing list or database. For example, ""I received an email about a subscription I never signed up for."" or ""A letter for the previous homeowner was delivered to my address.""."
Shareable file link,"The requester receives an automated notification informing them that a document link has been shared with them. The message typically includes the name of the shared item and a link to access it online. For example, ""Someone has shared their verified document with you"" or ""A secure document has been shared with you""."
Send documents by email,"The requester wants to receive documents, tickets, or information specifically via email. For example, ""Can you email me a copy of my tickets?"" or ""Please send the user manual to my email address.""."
Thank you,"The requester wants to express gratitude or acknowledge receipt of information, services, or items. No other issue or concern is being expressed in the message. For example, ""Thank you for your help."" or ""Received, thanks!""."
Email delivery failed,"The requester is notifying about or seeking assistance with emails that couldn't be delivered. This could include bounce-back messages, delivery failure notifications, or issues with sending emails to specific recipients. For example, ""I received an undelivered mail returned to sender message."" or ""Some of my emails to buyers couldn't be sent due to policy violations.""."
Out-of-office reply,"The requester has received an automated response informing them that the recipient is currently unavailable. These messages typically include information about the duration of absence, alternative contact details, or when the recipient will return to the office. For example, ""I'm currently on leave until next week."" or ""I'm out of the office with limited access to email.""."
Event invitation,"The requester receives an invitation to attend or participate in an event, conference, workshop, or similar gathering. This may include details about the event, registration information, or requests for the recipient to present or contribute in some way. For example, ""Join us for the Christmas charity mixer.""."
Marketing campaign or newsletter,The requester receives an unsolicited commercial email promoting products or offers. These emails typically come from businesses trying to engage customers or generate sales through email marketing campaigns.
Partnership proposal,"The requester is contacting the company to propose a business partnership, collaboration, or service. This can include offers for guest posting, SEO services, sponsorships, or other business development opportunities. For example, ""I'm reaching out to explore if there's interest from your company to be featured and promoted across our platform."" or ""We are exploring the opportunity to collaborate and refer our students to your institution.""."
Spam,"The requester isn't making a legitimate support request. Instead, this is likely spam, a phishing attempt, or other malicious communication that needs to be identified and filtered out. Examples include fake legal notices, scam attempts, inappropriate content, or messages with suspicious links. The message often contains terms like ""urgent"", ""100% free"", ""act now"" and suspicious URLs."
Video of product with problem,"The requester is sending a video demonstrating a problem with their product. They're often responding to a specific request from customer support or following up on a previous conversation. For example, ""I've recorded a video of the noise my washing machine makes during the spin cycle.""."
Sending order confirmation,"The requester is sending an order confirmation. An order confirmation is a communication by the seller confirming that the order placed by the buyer is approved, processed, and that the goods are being prepared or services will be provided."
Sending purchase order,"The requester is sending a Purchase Order (PO). A Purchase Order is an official document that a buyer sends to a seller to requisition goods or services. It contains details such as description, quantity, and price of the goods or services required, and may also include terms of billing and shipment."
Order delivery is late,"The requester is concerned about an order that is significantly delayed. For example, ""My order from last month still hasn't arrived.""."
Shipping status,"The requester wants to know their order status. For example, ""Has my order been already shipped?"" or ""What is the status of my order, can I expect it to be ready next week? I didn't receive any confirmation.""."
When will order arrive,"The requester wants to know how long does it usually take for the order to arrive. For example, ""I need this item for Christmas. Is it possible for it to arrive this fast?"" or ""How long does it take for the order to arrive from London warehouse?""."
Change items or quantity,"The requester wants to modify the items or quantities in their order. This could include changing the item, size, color, or quantity, adding or removing items from the order. For example, ""I ordered 5 of these, but instead I want just 3, please update it."" or ""I realized I don't need baby formula, just a normal powdered milk, can you change it for me?""."
Place new order or how to place order,"The requester wants to place a new order or is asking how to do it. For example ""I want to place an order for this t-shirt, thank you!."" or ""How can I place an order for new socks on your website?""."
Quote request,"The requester wants to get a quote for their order. For example ""Can you provide a quote for adding 5 Photoshop licenses to our account?""."
Which product to buy,"The requester is seeking advice on which product to purchase. For example, ""What video camera would be best for recording music performances?"" or ""Can you recommend a lip liner to match my lipstick shade?""."
Sending product license,"The requester has received documentation involving product license, installation instructions and license key."
Item missing from order,"The requester wants to inform about items that were ordered but not received. This could include partial deliveries, missing components from a set, or completely absent items from an order. For example, ""I ordered two units of the product, but instead I only received one.""."
Received wrong item or size,"The requester has received an item that doesn't match what they ordered. This could include wrong sizes, colors, models, or entirely different products. For example, ""I ordered size S, but instead I received XL."" or ""I ordered a 2025 model, but you've sent me a 2020 model."" or ""This isn't a product I ordered, it's something else!""."
Available services,"The requester wants to know if a specific service is offered by the company. This may include installation, maintenance, or specialized business support. For example, ""Do you offer assembly service for the shed I want to purchase?"" or ""Can you provide a concierge service?""."
Unable to find content,"The requester is unable to find expected content in their account, course, or application. This may include recordings, courses, videos, games, or other material that they have purchased, enrolled in, or created. For example, ""The video I purchased isn't showing up in my account.""."
Unable to play recorded videos,"The requester is experiencing problems playing or viewing videos that they recorded themselves. For example, ""My recorded videos are not displaying correctly."" or ""I'm unable to open the video I filmed.""."
Data missing,"The requester has lost data or is missing information. For example, ""All my passwords are gone after getting a new phone.""."
How to recover data,"The requester wants to recover or restore data that has been lost, deleted, or overwritten. For example, ""How can I recover data from a damaged drive?"" or ""I need assistance with retrieving deleted files.""."
Feature activation or beta access request,"The requester wants to activate or turn on a specific feature, functionality, or service within their system or platform. This could include various elements such as dashboards, security features, or access to specific tools. For example, ""Can you please turn on the food dashboard for our location?"" or ""Please activate the virtual terminal feature on my account.""."
Feature not working,"The requester is experiencing an issue where a specific feature or functionality in an application or platform isn't working as expected. They may be encountering errors, unexpected behavior, or a complete lack of response when trying to use the feature. For example, ""The search function isn't working."" or ""I can't rearrange pictures in the gallery section.""."
New feature request,"The requester wants to propose a new feature or an improvement to an existing one. For example, ""Can you add a dark mode option?"" or ""It would be helpful to have a bulk update feature.""."
Request feature deactivation,"The requester wants to turn off or deactivate a specific feature, capability, or setting. This could include system functions, or other configurable options. For example, ""Can you turn off the cascading absence marks feature?"" or ""Please deactivate the retrieval capability for this location.""."
Unable to find feature,"The requester is unable to find or access a specific feature, option, or section that they believe should be available in the application or website. For example, ""I'm having trouble locating this feature in the software. Can you help?"" or ""It seems like a feature is missing from the software."".
"
Software error,"The requester is reporting an error message or technical issue they've encountered while using a service or application, typically without further context. They're seeking assistance, explanation, or resolution for the problem. For example, ""An error popped up while using the application. Please check the error message below.""."
Software integration not working,"The requester is experiencing problems with a third-party integration. They're reporting that the integration isn't working as expected. For example, ""The integration is no longer posting notifications.""."
Unable to open or launch software,"The requester reports an inability to open or launch a specific application or platform. They may encounter errors, blank screens, or other obstacles preventing normal use. For example, ""The app won't open, it just shows a spinning wheel.""."
Client log received,"The requester receives a log file generated by a software client application. This log contains detailed information about the client's performance, including user actions, errors, and other relevant data. For example, ""We received a client log containing information that may assist us in resolving the issue with incorrect location tracking in the family locator app.""."
Activate single sign-on,"The requester wants to turn on Single Sign-On (SSO) for a specific application or system. For example, ""Can we turn on SSO for this application?"
Request login credentials,"The requester is asking for login credentials or access details for a specific system or platform. This could be for new users, temporary access, or renewing existing credentials. For example, ""Could you please create login credentials for this user?""."
Software keeps logging out,"The requester is experiencing problems with being automatically logged out of an application or service. They're unable to stay logged in for extended periods, often being logged out after a short time or when closing and reopening the app. For example, ""I can only stay logged in for a few minutes before being automatically logged out.""."
Correct password not accepted,"The requester is sure their password is correct but can't log into their account. For example, ""I know my password is right, but I still can't log in.""."
Forgot ID or email address,"The requester has forgotten their login ID or email address associated with their account. For example, ""I forgot which email I used to register.""."
Forgot password,"The requester has forgotten or lost their password associated with their account. For example, ""I forgot my password and can't log in.""."
ID or email address not recognized,"The requester can't log in to their account because the system doesn't recognize their login ID or email address. For example, ""I can't access my account because it doesn't recognize my email address.""."
Instructions for changing password,"The requester is seeking assistance to change their password for their account. For example, ""How do I change my password?""."
Occasional login issues,"The requester is sometimes able to log in but encounters issues at other times. For example, they can access their account on one platform but have trouble logging in on another. For example, ""I can login on my phone but not on my TV.""."
Password not accepted,"The requester can't log in to their account because the system doesn't accept their password. For example, ""My password isn't working on any of my devices.""."
Reset password,"The requester needs to reset their password because they've forgotten it, been locked out of their account, or their password has expired. For example, ""Can you reset my password? I've been locked out of my account.""."
Unable to login,"The requester mention that they can't log into their account or access a specific system without providing further details. For example, ""I can't log in to my account.""."
Unable to reset password,"The requester is unable to reset their password due to issues such as not receiving reset emails or reset links not working properly. For example, ""I'm not getting the reset email."" or ""The password reset link isn't working.""."
Event monitoring alert,"The requester receives a notification regarding event monitoring alerts related to IT infrastructure and network devices. This can include performance metrics, security alerts, connectivity issues, or other system-generated updates. For example, ""Monitoring Update: Database connection lost at 2 AM.""."
Performance issue,"The requester is experiencing performance issues with the software. They report problems such as long load times, delayed responses to user actions, or general sluggishness that impacts their work. For example, ""The app takes forever to load pages."" or ""It's taking much longer than usual to process payments.""."
Audio not working properly,"The requester is experiencing issues with audio not working properly, such as stopping, stuttering, buzzing, or glitching in their recorded videos. For example, ""The audio in my video is muffled and distorted."" or ""There's no sound when I play back my recording.""."
Activate user access,"The requester needs access for a user to a specific system, platform, or tool. For example, ""We upgraded our subscription, but the additional seats are not active. Can you turn on access?"" or ""Please turn on access to the necessary tools for the employee below.""."
Add new user,"The requester wants to add a new user to a specific account or platform. They typically provide the new user's name, email address, and sometimes their role or access level. For example, ""Could you add a new user to our current subscription?""."
Invite not received,"The requester reports that a user isn't receiving an expected invitation email to set up an account or license. For example, ""I haven't received the invitation email for my software seat. Can it be resent?""."
Update user roles,"The requester wants to modify accesses, permissions or roles on the system. For example, ""Can you change my role to manager in the system?"" or ""Please give admin rights to these team members.""."
Availability of new software version,"The requester wants to know when a specific software version will be available for their device or operating system. For example, ""When will the new version be released?"" or ""Is there an update planned for the latest operating system?""."
Connection issue,"The requester is having difficulty connecting an application or service. This could involve issues with remote desktop connections, API connections, database servers, or other integrations. For example, ""I can't connect to the remote server."" or ""I'm having trouble linking the application to the database.""."
How to connect an integration,"The requester wants to know how to integrate different software, platforms, or services. For example, ""How do I integrate this service into my website?"" or ""What steps are needed to integrate these two applications?""."
Software is crashing or not responding,"The requester is experiencing software crashes, freezes, or loading issues that prevent them from using the program as intended. This can include applications becoming unresponsive, closing unexpectedly, or failing to load properly. For example, ""The application crashed and won't reopen."" or ""I'm stuck in a loading loop and can't access the software.""."
Website crashing,"The requester is experiencing problems with a website that is crashing or not functioning properly. They may encounter error messages, slow loading times, or complete inability to access the site. For example, ""The website keeps crashing and won't load."" or ""I'm getting an error message when trying to access the site.""."
How to edit data,"The requester wants to know how to edit data within a system. This can include modifying metadata, digital files, or other information. For example, ""How do I edit the data in my files?""."
Request access to file or folder,"The requester is asking to grant access to a specific file or folder. This could include access to shared drives, databases, or other digital resources. For example, ""Can I get access to the shared folder?"" or ""How do I access the specific document I need?""."
Request to delete data,"The requester wants to delete specific data or records from their account or system. This can include various types of data such as files, entries, or archived records. For example, ""Can you remove the files from this directory?""."
Shareable link not working,"The requester can't access or open a link they've been provided. This could be due to various reasons such as broken links, permission issues, or technical glitches. For example, ""The link you sent isn't working."" or ""I can't open the shared document.""."
Unable to access data,"The requester is unable to access a specific resource or system, such as shared folders or documents, files, timetables, or records, and seeks assistance in resolving the issue. For example, ""I can't access my documents folder.""."
Unable to access data,"The requester can't open various types of files or documents, including PDFs, zipped folders, or attachments. Files may appear blank or prompt unexpected error messages. For example, ""I can't open the file.""."
Unable to create new data,"The requester can't create data. For example: ""I can't create a new receipt.""."
Unable to download data,"The requester can't download data and is experiencing issues such as error messages, slow downloads, or incomplete files. For example, ""The file isn't available for download."" or ""The download is taking too long to complete.""."
Unable to edit data,"The requester is experiencing difficulties editing or modifying data in various systems or platforms. They may be encountering permission issues, technical glitches, or user interface problems that prevent them from making the desired changes. For example, ""I'm unable to update my account information."" or ""I can't edit the data entry in the system.""."
Unable to find data,"The requester can't find specific data they expect to have access to. This could include files, reports, or other important information within various systems or platforms. For example, ""I can't find the report I saved.""."
Unable to upload data,"The requester can't upload data and is experiencing issues with the upload process. This can include problems with files taking too long or failing to upload. For example, ""The upload is taking too long."" or ""I can't upload the file.""."
Question about functionality,"The requester wants to know if a specific feature or functionality is available in a software application or system. They're asking about the possibility of performing certain actions, accessing specific information, or customizing the system in a particular way. For example, ""Does the software allow for data export?"" or ""Can I customize the dashboard layout?""."
Software usage instructions,"The requester needs information about the software, including instructions on how to use its various features and functions. For example, ""How do I adjust the settings?"" or ""Can you explain how to navigate the interface?""."
Add exception or allowlist,"The requester wants to know how to allow access to trusted email addresses, IP addresses, domain names, services or applications. For example, ""Can you allow these IP addresses for our branches to connect to our system?""."
Detected security flaw,"The requester wants to report or inquire about vulnerabilities or potential weakness in the security system. For example, ""Why isn't my password being protected as expected?"" or ""These emails are phishing attacks and they're not being detected as such""."
Update software,"The requester needs an update for a software, application, or system. This can include installing new versions or applying patches. For example, ""We are currently running the X version of the software, but would like to update to XX, could you help us perform the update?""."
Sync issue,"The requester is experiencing problems with data not syncing correctly between different systems, applications, or devices. This can include issues with calendar syncing, order synchronization, password syncing, time synchronization, or data transfer between integrated platforms. For example, ""My drive isn't syncing files."" or ""The API integration isn't syncing metadata fields correctly.""."
Import or export data,"The requester wants to import or export data between different systems, applications, or accounts. For example, ""How can I export my passwords from the browser to the password management app?"" or ""I need to import data from one software to another.""."
